Barcode,X Coordinate,Y Coordinate
s_008um_00547_00611-1,1733.2161519519063,8222.398098786358
s_008um_00518_00375-1,5473.363226842333,7766.140968079685
s_008um_00433_00599-1,1924.957788910196,6416.050403876495
s_008um_00660_00606-1,1810.8752700409962,10013.13110028215
s_008um_00553_00614-1,1685.5938704502107,8317.435758120302
s_008um_00344_00601-1,1894.5035989004623,5005.669226174261
s_008um_00441_00601-1,1893.153864558507,6542.795727402242
s_008um_00183_00231-1,7759.9494501772515,2459.4630502982054
s_008um_00500_00378-1,5426.075122661224,7480.858375677726
s_008um_00545_00375-1,5472.986277018737,8194.001823374028
s_008um_00250_00602-1,1879.9652526729078,3516.0651904922897
s_008um_00235_00397-1,5128.690908725451,3281.202751761214
s_008um_00263_00382-1,5365.997715816093,3725.121160040645
s_008um_00530_00205-1,8167.1059782265975,7958.675290819317
s_008um_00162_00410-1,4923.70504289171,2124.204835582943
s_008um_00499_00603-1,1860.6542326243589,7461.872550750843
s_008um_00339_00204-1,8185.625856427509,4931.949228511869
s_008um_00628_00615-1,1668.7042153087955,9505.915154381526
s_008um_00399_00610-1,1751.1215341752327,5877.111067997127
s_008um_00480_00589-1,2082.7667581858796,7160.981901977096
s_008um_00132_00252-1,7427.883298068948,1650.9807785870912
s_008um_00691_00415-1,4837.091396747161,10507.053471431507
s_008um_00647_00211-1,8070.389014641365,9812.660148627376
s_008um_00654_00622-1,1557.4188071501037,9917.827556913317
s_008um_00154_00406-1,4987.202730834377,1997.4853919082082
s_008um_00288_00370-1,5555.806865383678,4121.457578877935
s_008um_00497_00390-1,5235.959451909468,7433.150832930536
s_008um_00698_00606-1,1810.3465510307985,10615.29983318782
s_008um_00660_00415-1,4837.523934970595,10015.80814695412
s_008um_00324_00214-1,8027.3694190894,4694.107680511717
s_008um_00163_00234-1,7712.689308654186,2142.4835426980553
s_008um_00350_00376-1,5459.86219867794,5103.875044201689
s_008um_00153_00229-1,7792.0624864260835,1984.0835333064588
s_008um_00675_00219-1,7943.22467238801,10256.255874908727
s_008um_00509_00211-1,8072.320288162721,7625.809360674658
s_008um_00635_00418-1,4790.333531214074,9619.600257874476
s_008um_00376_00610-1,1751.4415318492552,5512.637809512544
s_008um_00474_00205-1,8167.889753901169,7071.255702044641
s_008um_00449_00601-1,1893.0425464133345,6669.5688750441395
s_008um_00570_00203-1,8198.239322456437,8592.573599542504
s_008um_00183_00407-1,4970.951530331934,2457.0297714993735
s_008um_00370_00389-1,5253.57861018206,5420.629706330337
s_008um_00244_00372-1,5524.728153355628,3424.1702788018
s_008um_00626_00200-1,8244.995272230499,9480.033038589174
s_008um_00416_00216-1,7994.388724210537,6151.988097144474
s_008um_00451_00389-1,5252.447989835734,6704.2158338741865
s_008um_00454_00217-1,7978.010355816927,6754.152617304183
s_008um_00505_00384-1,5330.926539490268,7560.008196226709
s_008um_00263_00221-1,7917.296559790874,3727.3522067964227
s_008um_00169_00240-1,7617.525482443119,2237.4820497686246
s_008um_00454_00390-1,5236.559647941589,6751.742075498435
s_008um_00694_00411-1,4900.435134546241,10554.6494390844
s_008um_00406_00380-1,5395.694440583776,5991.237992234615
s_008um_00369_00380-1,5396.210965419706,5404.90804487534
s_008um_00535_00206-1,8151.189400677961,8037.895153994472
s_008um_00574_00418-1,4791.184618831538,8652.954531293692
s_008um_00627_00411-1,4901.370030569937,9492.925154486957
s_008um_00187_00231-1,7759.893487079783,2522.8506416463624
s_008um_00417_00609-1,1766.7174001233218,6162.364777029473
s_008um_00311_00605-1,1831.577484752558,4482.672898163007
s_008um_00164_00406-1,4987.063182046993,2155.9537773684365
s_008um_00649_00231-1,7753.429788253667,9844.073345764718
s_008um_00535_00198-1,8277.962204131858,8038.0068836884175
s_008um_00648_00606-1,1811.042234046852,9822.972430159318
s_008um_00157_00229-1,7792.006521643827,2047.4711770096376
s_008um_00519_00597-1,1955.4536586142167,7778.888636757634
s_008um_00654_00399-1,5091.15024543429,9920.952579286082
s_008um_00573_00210-1,8087.271210061646,8640.015981873023
s_008um_00580_00192-1,8372.411901448224,8751.194918403584
s_008um_00462_00217-1,7977.8984074326,6880.926950098542
s_008um_00615_00216-1,7991.603971460356,9305.495017608171
s_008um_00257_00217-1,7980.767092085367,3632.3264005068195
s_008um_00508_00599-1,1923.914151212516,7604.547939540971
s_008um_00682_00207-1,8133.285458683597,10367.351077676438
s_008um_00403_00601-1,1893.682626062444,5940.62291808187
s_008um_00536_00212-1,8056.095837128104,8053.6581186039375
s_008um_00232_00604-1,1848.5230322655573,3230.796421639573
s_008um_00592_00412-1,4886.0119885274835,8938.278345473202
s_008um_00650_00596-1,1969.4769844245823,9854.80566484913
s_008um_00651_00219-1,7943.56050591305,9875.934911144484
s_008um_00601_00195-1,8324.578149167839,9083.934634196088
s_008um_00549_00608-1,1780.7271416810556,8254.133207878182
s_008um_00292_00209-1,8107.050447518245,4187.0776901072795
s_008um_00475_00599-1,1924.3733515502192,7081.6093077255255
s_008um_00660_00605-1,1826.721522162503,10013.145116166119
s_008um_00537_00598-1,1939.356894799349,8064.1136690007115
s_008um_00604_00202-1,8213.610031622982,9131.376901255842
s_008um_00244_00593-1,2022.665835281579,3421.109492204951
s_008um_00655_00222-1,7895.964850592925,9939.279712350168
s_008um_00325_00206-1,8154.128521841787,4710.065586210364
s_008um_00627_00197-1,8292.521028319887,9495.921776907255
s_008um_00355_00599-1,1926.0431742621554,5180.010522490736
s_008um_00528_00207-1,8135.440772856972,7926.953829375473
s_008um_00311_00384-1,5333.634644199918,4485.7396006968265
s_008um_00567_00192-1,8372.593883710437,8545.187112800273
s_008um_00653_00222-1,7895.992835495496,9907.586293727589
s_008um_00448_00605-1,1829.6712707189408,6653.666508386075
s_008um_00370_00368-1,5586.354966174846,5420.921609341389
s_008um_00502_00199-1,8262.577509136558,7515.049375149096
s_008um_00216_00224-1,7870.414273225957,2982.507353808876
s_008um_00626_00405-1,4996.462486429867,9477.162524058102
s_008um_00667_00420-1,4758.194259915685,10126.664450882528
s_008um_00172_00231-1,7760.103348725131,2285.1471402948932
s_008um_00473_00211-1,8072.824099779607,7055.325263428315
s_008um_00307_00387-1,5286.150980141855,4422.310832248751
s_008um_00634_00609-1,1763.6982578831448,9601.078557321516
s_008um_00595_00213-1,8039.423579837542,8988.602352523685
s_008um_00553_00595-1,1986.6730930492174,8317.701247435305
s_008um_00674_00219-1,7943.238665447395,10240.409172796073
s_008um_00360_00599-1,1925.9735982124096,5259.2439229792035
s_008um_00441_00604-1,1845.614966204614,6542.753942316553
s_008um_00520_00208-1,8119.706138352961,7800.165720686389
s_008um_00365_00608-1,1783.2871939744057,5338.352231341325
s_008um_00450_00604-1,1845.4897388323482,6685.373720779616
s_008um_00380_00614-1,1688.000662587812,5575.968862823526
s_008um_00567_00384-1,5330.061065591087,8542.503156270746
s_008um_00448_00374-1,5490.186985726004,6656.884624578824
s_008um_00527_00593-1,2018.7274853466226,7905.717392526625
s_008um_00193_00393-1,5192.663155405063,2615.6916455963997
s_008um_00436_00212-1,8057.495293505351,6468.979905841876
s_008um_00571_00205-1,8166.532143184298,8608.392389456008
s_008um_00341_00600-1,1910.3916648825682,4958.143058243057
s_008um_00578_00606-1,1812.016191779928,8713.712345465114
s_008um_00531_00382-1,5362.256511677659,7972.050332410839
s_008um_00543_00215-1,8008.458106534938,8164.543531883446
s_008um_00591_00386-1,5298.033158604132,8922.795386291618
s_008um_00535_00610-1,1749.2293779043187,8032.252863104703
s_008um_00409_00393-1,5189.648336546978,6038.597329238851
s_008um_00370_00384-1,5332.811043907837,5420.6992070191955
s_008um_00350_00380-1,5396.476208095004,5103.819475599738
s_008um_00636_00399-1,5091.401455946966,9635.713018630959
s_008um_00115_00238-1,7649.974199416707,1381.7764062588315
s_008um_00640_00615-1,1668.5372733742272,9696.07387965361
s_008um_00240_00222-1,7901.771748874052,3362.860242878346
s_008um_00314_00389-1,5254.3602750154905,4533.210565288902
s_008um_00652_00223-1,7880.160267913998,9891.72557084425
s_008um_00522_00603-1,1860.3342029364137,7826.344714722549
s_008um_00671_00601-1,1889.9534770678567,10187.513264150759
s_008um_00618_00615-1,1668.84333362716,9347.449504928603
s_008um_00692_00206-1,8148.992068135723,10525.832124512415
s_008um_00590_00379-1,5408.972231077782,8907.046632972319
s_008um_00649_00404-1,5011.987938579335,9841.64932314595
s_008um_00358_00370-1,5554.829510986585,5230.732581554689
s_008um_00623_00211-1,8070.724887802357,9432.338832850444
s_008um_00646_00418-1,4790.180056540633,9793.913259468178
s_008um_00670_00614-1,1683.9661616373983,10171.484454639956
s_008um_00652_00404-1,5011.9460732440175,9889.18923716797
s_008um_00695_00419-1,4773.650002685543,10570.383816217116
s_008um_00712_00602-1,1873.5367305574741,10837.207469188534
s_008um_00470_00376-1,5458.18688548705,7005.484770094928
s_008um_00668_00407-1,4964.183560276249,10142.69332535273
s_008um_00700_00613-1,1699.3950387141133,10646.894684937857
s_008um_00317_00385-1,5317.704388962169,4580.806424803847
s_008um_00367_00383-1,5348.699411618149,5373.1728214044015
s_008um_00306_00373-1,5508.016009899488,4406.65829042624
s_008um_00317_00369-1,5571.248472418129,4581.028488200862
s_008um_00566_00214-1,8023.98283037043,8529.032826443332
s_008um_00343_00369-1,5570.885449801915,4993.044853602864
s_008um_00606_00198-1,8276.968388333658,9163.12635436607
s_008um_00586_00209-1,8102.935859808265,8846.037648592732
s_008um_00142_00240-1,7617.903183781981,1809.6155790042212
s_008um_00518_00608-1,1781.1584539862436,7762.888471323001
s_008um_00703_00603-1,1857.8157150760999,10694.574616375392
s_008um_00538_00368-1,5584.009254628258,8083.17273467789
s_008um_00375_00609-1,1767.3017521904771,5496.805043164175
s_008um_00654_00206-1,8149.523905767425,9923.657223450398
s_008um_00491_00199-1,8262.731478635891,7340.734761907244
s_008um_00629_00607-1,1795.460336146804,9521.873745000847
s_008um_00569_00603-1,1859.680229817943,8571.134984643206
s_008um_00639_00613-1,1700.243684465937,9680.255336437796
s_008um_00294_00369-1,5571.56960801278,4216.552241819664
s_008um_00712_00414-1,4852.644781366946,10839.846375346808
s_008um_00639_00607-1,1795.3212014549545,9680.339381366408
s_008um_00554_00215-1,8008.304173352818,8338.857840469425
s_008um_00565_00219-1,7944.763911088722,8513.11618672471
s_008um_00253_00218-1,7964.976420675882,3568.9250479829443
s_008um_00664_00419-1,4774.08251542357,10079.138592091727
s_008um_00581_00384-1,5329.865636192922,8764.356638998435
s_008um_00373_00600-1,1909.946384723707,5465.236815134408
s_008um_00284_00603-1,1863.6458236925077,4054.839667887091
s_008um_00276_00375-1,5476.7418258969365,3931.226635407433
s_008um_00619_00211-1,8070.7808666827805,9368.951923947763
s_008um_00645_00214-1,8022.877295664698,9780.924684156918
s_008um_00381_00376-1,5459.42940893911,5595.124788489926
s_008um_00394_00389-1,5253.243611314123,5800.951802092791
s_008um_00148_00234-1,7712.899161196931,1904.7799118587025
s_008um_00665_00601-1,1890.0369651954636,10092.43395150886
s_008um_00263_00213-1,8044.0697137387915,3727.463066735274
s_008um_00608_00606-1,1811.598781107095,9189.109770399242
s_008um_00422_00212-1,8057.691217686853,6247.124629160134
s_008um_00695_00605-1,1826.2345369272105,10567.774247756885
s_008um_00116_00243-1,7570.726931996306,1397.554336145501
s_008um_00178_00406-1,4986.86781380526,2377.8094481926196
s_008um_00167_00231-1,7760.173302624998,2205.912619362047
s_008um_00460_00604-1,1845.350597341779,6843.840102378802
s_008um_00549_00613-1,1701.4957871991985,8254.063350283195
s_008um_00227_00384-1,5334.80722983388,3154.6082093520777
s_008um_00598_00621-1,1574.0440412958692,9030.43413655284
s_008um_00378_00376-1,5459.471291801902,5547.5845078605025
s_008um_00561_00385-1,5314.298371911807,8447.409091192092
s_008um_00567_00199-1,8261.667690261504,8545.089259761702
s_008um_00339_00370-1,5555.094792719498,4929.643850728176
s_008um_00683_00205-1,8164.964596900337,10383.225832025286
s_008um_00255_00599-1,1927.4346971455593,3595.340362126221
s_008um_00629_00609-1,1763.767823181935,9521.845738014856
s_008um_00660_00416-1,4821.677530914465,10015.794130935765
s_008um_00206_00230-1,7775.474307588477,2823.9554457441136
s_008um_00220_00216-1,7997.131509766517,3046.005624710671
s_008um_00674_00408-1,4948.253425761907,10237.759074198575
s_008um_00305_00207-1,8138.561794952359,4393.114620430062
s_008um_00676_00618-1,1620.4977277529772,10266.507634736261
s_008um_00601_00609-1,1764.1573890213137,9078.14176064747
s_008um_00465_00206-1,8152.169105959774,6928.620638652498
s_008um_00330_00374-1,5491.834426344607,4786.967284707661
s_008um_00544_00388-1,5266.99632254474,8177.973524486987
s_008um_00543_00385-1,5314.549634730748,8162.16874409091
s_008um_00610_00214-1,8023.36708924312,9226.28936641595
s_008um_00666_00218-1,7959.1971702951105,10113.649559703459
s_008um_00488_00587-1,2114.3480232643174,7287.782854491658
s_008um_00545_00211-1,8071.816477014686,8196.292927024657
s_008um_00686_00617-1,1636.2048529895496,10424.987060879728
s_008um_00688_00423-1,4710.362091168609,10459.401400875719
s_008um_00564_00207-1,8134.936932411643,8497.43717308179
s_008um_00645_00212-1,8054.57043379755,9780.952704490297
s_008um_00259_00219-1,7949.04581631559,3663.9924357772416
s_008um_00677_00203-1,8196.741711875096,10288.173645220413
s_008um_00400_00378-1,5427.471174509625,5896.185322592757
s_008um_00620_00413-1,4869.774876244064,9381.9706305283
s_008um_00716_00610-1,1746.7111508320843,10900.481294533152
s_008um_00110_00228-1,7808.510774639494,1302.679745883226
s_008um_00526_00203-1,8198.855163523589,7895.316145164962
s_008um_00198_00234-1,7712.199653037559,2697.1249895486185
s_008um_00131_00237-1,7665.597024580364,1635.3409379804718
s_008um_00366_00373-1,5507.178314771168,5357.465044117752
s_008um_00124_00247-1,7507.228423824116,1524.274485814729
